OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
10660,772142STMH,1,PRIV,ACT,5/16/2012 12:00:00 AM,4,,5232.31,5232.39,5232.26,,,,4.1,,5236.36,1,3142741.91313674,1694084.06339979
10661,772144STMH,1,PRIV,ACT,5/16/2012 12:00:00 AM,4,,5232.97,5232.77,5232.67,,,,2.95,,5235.62,1,3142781.91338481,1694084.06339979
10662,1435081STMH,1,PRIV,ACT,3/22/2005 12:00:00 AM,,,5323.36,,,,,,5.95,Access Port,5329.31,1,3164384.90856457,1694087.83931088
10663,23797STMH,1,DPUB,ACT,,,,5238.61,5238.56,,,,,,,5242,1,3143587.6384794,1694090.57224505
10664,23791STMH,1,DPUB,ACT,,,,,,,,,,5208,inverts from JBG May 2012,5208,1,3134319.74887873,1694115.95703679
10665,23789STMH,1,DPUB,ACT,,,,,,,,,,5206.37,inverts from JBG May 2012,5206.37,1,3134434.62496132,1694123.91469805
10666,808948STMH,1,PRIV,ACT,10/15/2012 12:00:00 AM,,,,,,,,,,access mh,5244.19,1,3144226.51154548,1694141.47699888
10667,815243STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,5,5213.17,5203.81,5203.15,,,,,10.02,,5213.28,1,3134266.54983814,1694151.33852771
10668,1459774STMH,1,DDWD,ACT,3/23/1937 12:00:00 AM,,,,,,,,,0,,5305.32481849,1,3147885.5334269,1694159.5927763
10669,23772STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5220,1,3139245.99854064,1694167.25089747
10670,23774STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5220.62,1,3139374.39362507,1694167.25089747
10671,818622STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5190.89,5185.63,,,,,9.99,,5195.62,1,3135452.03499998,1694171.73743705
10672,1614391STMH,1,PRIV,ACT,4/15/2019 12:00:00 AM,4,5220.12,5211.75,5213.9,5210.1,,,,10.02,,5218,1,3141703.09861331,1694177.07371247
10673,23767STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5222,1,3139582.20160839,1694177.71675579
10674,1435082STMH,1,PRIV,ACT,,,,5322.78,,,,,,6.28,Access Port,5329.06,1,3164387.23041031,1694178.87653038
10675,1435083STMH,1,PRIV,ACT,3/22/2005 12:00:00 AM,,,5322.52,,,,,,6.35,Access Port,5328.87,1,3164380.54702473,1694179.01793429
10676,1614376STMH,1,PRIV,ACT,4/15/2019 12:00:00 AM,3,5219.97,,,,,,,0,Maintenance MH access,5218,1,3141714.71309139,1694179.61865488
10677,1614377STMH,1,PRIV,ACT,4/15/2019 12:00:00 AM,4,5219.99,,,,,,,0,Maintenance MH access,5218,1,3141869.22721806,1694179.83584605
10678,815241STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,5,,5196.14,5194.59,5192.66,,,,17.87,Drop MH,5208.99,1,3134534.69201839,1694185.99954763
10679,23759STMH,1,DPUB,ACT,,,,5234.41,5234.15,,,,,,,5237.5,1,3143755.26839347,1694186.35781462
10680,815242STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5205.51,5199.79,5186.21,,,,25.6,,5211.81,1,3134394.49971348,1694187.86896646
10681,815244STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,5,5212.37,5205.17,5205.67,5204.77,,,,7.6,,5212.47,1,3134253.56331556,1694189.7285428
10682,600249STMH,1,DPUB,ACT,7/7/2007 12:00:00 AM,,,5217.73,5217.53,,,,,10.6,Type 'P' MH,5228.53,1,3142594.12143756,1694195.09040871
10683,772127STMH,1,PRIV,ACT,5/16/2012 12:00:00 AM,6,,5222.93,5222.84,,,,,5.83,,5228.67,1,3142650.12165365,1694195.09040871
