OBJECTID,FACILITYID,SUBTYPE,UNITTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_INCHES,FLAPGATE,TRASH_RACK,INVERT1,INVERT2,INVERT3,GROUNDELEVATION,ENABLED,x,y
2358,484154STOF,3,Other,PRIV,ACT,2/27/2006 12:00:00 AM,,,,5281.13,,,,1,3156568.13285956,1701483.70608079
2359,857508STOF,3,Other,PRIV,ACT,4/14/2014 12:00:00 AM,,,,5174,,,,1,3142052.90565647,1701517.38875622
2360,471104STOF,1,Flared End Section,DPUB,ACT,1/12/2005 12:00:00 AM,,,,5282.79,,,,1,3175164.81252964,1701519.41696738
2361,407674STOF,1,Flared End Section,DPUB,ACT,3/24/2003 12:00:00 AM,,,,5294.85,,,,1,3173224.4374734,1701537.26568496
2362,1471964STOF,1,Flaired End Section,PRIV,ACT,12/16/2015 12:00:00 AM,,,,,,,,1,3142519.58845015,1701569.04974213
2363,14501STOF,1,Flared End Section,PRIV,ACT,10/9/2001 12:00:00 AM,,,,5201.51,,,,1,3144972.16655023,1701605.00176996
2364,813892STOF,3,Other,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5281,,,,1,3174749.83599739,1701619.18776521
2365,815804STOF,3,Other,DPUB,ACT,,72,,,5293.95,,,,1,3180168.37929414,1701623.98106271
2366,1461546STOF,1,Flaired End Section,PRIV,ACT,1/18/2018 12:00:00 AM,,,,5169.13,,,5169.13,1,3141934.87898965,1701633.1644433
2367,615224STOF,2,Headwall,DPUB,ACT,9/16/1999 12:00:00 AM,72,,,5168,,,,1,3139312.72445706,1701666.28872088
2368,771755STOF,3,Other,PRIV,ACT,5/21/2012 12:00:00 AM,,,,,,,,1,3135649.16485506,1701761.25572255
2369,14301STOF,2,Headwall,DPUB,ACT,,,,,5411.47,,,,1,3127300.1434954,1701824.32482213
2370,14224STOF,2,Headwall,DPUB,ACT,,,,,5169.61,,,,1,3139237.99986897,1701854.49995863
2371,800636STOF,3,Other,DPUB,ACT,,,,,,,,,1,3179627.4207304,1701861.29882956
2372,708657STOF,2,Headwall,NDPUB,ACT,,,,,,,,,1,3139279.85870914,1701914.23179455
2373,14170STOF,3,Other,DPUB,ACT,,,,,5167.61,,,,1,3139445.10181698,1701919.5949728
2374,471191STOF,1,Flared End Section,DPUB,ACT,1/12/2005 12:00:00 AM,,,,5278.24,,,,1,3175335.26527272,1701933.02932914
2375,407672STOF,1,Flared End Section,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5279.05,,,,1,3174785.67582072,1701940.45057413
2376,407671STOF,1,Flared End Section,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5277.95,,,,1,3175015.90370673,1701950.7130208
2377,697870STOF,3,Other,PRIV,ACT,,,,,,,,,1,3139456.24221465,1701980.86748804
2378,871572STOF,1,Flaired End Section,PRIV,ACT,12/16/2015 12:00:00 AM,,,,,,,,1,3143213.92137906,1701987.86550555
2379,800084STOF,2,Headwall,PRIV,ACT,5/29/2012 12:00:00 AM,12,,,5289.43,,,,1,3135982.07790315,1701997.56397696
2380,670898STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3139368.68202232,1702031.01929063
2381,592182STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3139376.55864698,1702033.91101713
2382,670899STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3139382.48087923,1702038.05635005
2383,482836STOF,2,Headwall,PRIV,ACT,12/14/2005 12:00:00 AM,,,,5320.6,,,,1,3133741.95180598,1702050.48283438
2384,697873STOF,3,Other,DPUB,ACT,,,,,,,,,1,3139371.99992906,1702055.99988371
2385,482833STOF,3,Other,PRIV,ACT,12/14/2005 12:00:00 AM,,,,5319.95,,,,1,3133754.66667557,1702070.89913213
2386,482785STOF,1,Flared End Section,PRIV,ACT,12/14/2005 12:00:00 AM,,,,5320.37,,,,1,3133767.88712156,1702077.95620464
2387,13868STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3126489.74321331,1702144.2657833
2388,471194STOF,1,Flared End Section,DPUB,ACT,,,,,5282.32,,,,1,3175520.01916832,1702195.30439514
2389,407670STOF,1,Flared End Section,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5275.1,,,,1,3175130.93464464,1702238.79380946
2390,554760STOF,3,Other,PRIV,ACT,5/4/2006 12:00:00 AM,,,,,,,,1,3144402.41736165,1702252.9781643
2391,13696STOF,2,Headwall,PRIV,ACT,4/1/1906 12:00:00 AM,,,,,,,,1,3167908.2059799,1702273.25404239
2392,13691STOF,2,Headwall,PRIV,ACT,4/1/1906 12:00:00 AM,,,,,,,,1,3167855.75267273,1702278.8737818
2393,407669STOF,1,Flared End Section,PRIV,ACT,6/3/2003 12:00:00 AM,,,,5157.87,,,,1,3141903.06835772,1702319.41438313
2394,13627STOF,2,Headwall,DPUB,ACT,4/4/1997 12:00:00 AM,,,,5154.42,,,,1,3140039.38606147,1702322.16076872
2395,553616STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3177078.97897689,1702397.52446313
2396,413281STOF,3,Other,DPUB,ACT,,,,,5278.6,,,,1,3174886.56275806,1702422.55886188
2397,615319STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3139946.19825573,1702445.0092763
2398,868373STOF,3,Other,PRIV,ACT,9/17/2013 12:00:00 AM,,,,5238.92,,,,1,3137935.21277639,1702500.07904805
2399,615314STOF,3,Other,DPUB,ACT,,,,,,,,,1,3140487.18634698,1702530.16002463
2400,698800STOF,3,Other,DPKS,ABND,,,,,,,,,0,3140137.42031422,1702569.01394954
2401,670896STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3140157.96062748,1702588.4282808
2402,13209STOF,2,Headwall,DPUB,ACT,,,,,5162.9,,,,1,3140168.58166923,1702594.14972605
2403,1428934STOF,3,Other,DPUB,ACT,11/19/2018 12:00:00 AM,,,,5160,,,5160.37,1,3140184.92481239,1702595.67892246
2404,670897STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3140179.59280206,1702599.8849508
2405,1683513STOF,2,Headwall,PRIV,ACT,3/4/2024 12:00:00 AM,,,,5172.88,,,,1,3143765.0259199,1702656.83070305
2406,718549STOF,1,Flared End Section,DPUB,ACT,12/23/2009 12:00:00 AM,,,,5159.04,,,,1,3141160.09051298,1702687.46089113
2407,698815STOF,3,Other,DPUB,ACT,,,,,,,,,1,3140915.04375897,1702705.59700972
2408,407667STOF,1,Flared End Section,PRIV,ACT,6/3/2003 12:00:00 AM,,,,5154.98,,,,1,3141254.09229347,1702713.15178463
2409,407668STOF,1,Flared End Section,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5274,,,,1,3175198.89874756,1702719.12060471
2410,1444545STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3140920.15989047,1702723.64224921
2411,698812STOF,3,Other,DPUB,ACT,,,,,,,,,1,3140904.5572314,1702746.95650704
2412,648875STOF,2,Headwall,DPUB,ACT,2/19/2009 12:00:00 AM,,,,5290.32,,,,1,3173258.93576398,1702777.55651146
2413,746150STOF,1,Flared End Section,PRIV,ACT,11/17/2010 12:00:00 AM,,,,5285.96,,,,1,3175985.21771298,1702787.19658405
2414,13111STOF,2,Headwall,DPUB,ACT,,,,,5153.1,,,,1,3140998.10855348,1702788.53352363
2415,484950STOF,1,Flared End Section,DPUB,ACT,4/13/2005 12:00:00 AM,,,,5305.82,,,,1,3167997.91971123,1702825.28016929
2416,1637168STOF,2,Headwall,PRIV,ACT,3/18/2022 12:00:00 AM,12,,,5332.49,,,,1,3134061.80976206,1702857.05438396
2417,1637177STOF,2,Headwall,PRIV,ACT,3/18/2022 12:00:00 AM,24,,,5331.88,,,,1,3134191.63168089,1702857.8647498
2418,746161STOF,1,Flared End Section,PRIV,ACT,11/17/2010 12:00:00 AM,,,,5284.83,,,,1,3175891.16475148,1702860.25385264
2419,484937STOF,3,Other,DPUB,ACT,,,,,5305.11,,,,1,3167982.89907198,1702878.08911879
2420,565019STOF,2,Headwall,PRIV,ACT,11/13/1995 12:00:00 AM,,,,5153,,,,1,3140833.15055007,1702879.82697621
2421,484947STOF,1,Flared End Section,DPUB,ACT,,,,,5305.18,,,,1,3167994.78553115,1702881.64094897
2422,649060STOF,2,Headwall,PRIV,ACT,2/19/2009 12:00:00 AM,,,,5287.14,,,,1,3173899.16184573,1702928.87674688
2423,746217STOF,1,Flared End Section,PRIV,ACT,11/17/2010 12:00:00 AM,,,,5285.51,,,,1,3175719.69363773,1702939.83210555
2424,813890STOF,3,Other,PRIV,ACT,11/17/2010 12:00:00 AM,,,,5284,,,,1,3175874.28847289,1702946.45413955
2425,411956STOF,2,Headwall,DPUB,ACT,,,,,5145.33,,,,1,3141557.4653744,1702973.43407246
2426,12682STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3141578.94499023,1702979.89206479
2427,553345STOF,1,Flared End Section,DPUB,ACT,4/19/2005 12:00:00 AM,,,,5282.25,,,,1,3175872.66970973,1703037.74890447
2428,648959STOF,1,Flared End Section,PRIV,ACT,2/19/2009 12:00:00 AM,30,,,5273.8,,,,1,3175081.67916572,1703050.1655463
2429,871530STOF,1,Flaired End Section,PRIV,ACT,12/16/2015 12:00:00 AM,,,,5172.46,,,,1,3144427.08004197,1703055.49886897
2430,648856STOF,1,Flared End Section,PRIV,ACT,2/19/2009 12:00:00 AM,24,,,5280.35,,,,1,3174776.49801756,1703115.68641263
2431,623327STOF,1,Flaired End Section,PRIV,ACT,,,,,,,,,1,3141593.92265056,1703140.46884339
2432,1401382STOF,3,Other,PRIV,ACT,1/8/2016 12:00:00 AM,8,,,5169.41,,,,1,3140558.38961664,1703163.97076488
2433,615334STOF,1,Flaired End Section,DPUB,ACT,,,,,,,,,1,3141853.34896898,1703167.47207022
2434,565020STOF,3,Other,PRIV,ACT,11/13/1995 12:00:00 AM,,,,5161.8,,,,1,3140880.57007465,1703198.8404458
2435,565018STOF,2,Headwall,DPUB,ACT,11/13/1995 12:00:00 AM,,,,5164.76,,,,1,3140873.32993165,1703216.30563396
2436,407666STOF,1,Flared End Section,DPUB,ACT,6/6/2003 12:00:00 AM,,,,5272.38,,,,1,3175440.54426165,1703225.6435418
2437,554260STOF,2,Headwall,DPUB,ACT,2/17/2006 12:00:00 AM,,,,,,,,1,3178065.87398472,1703320.06986213
2438,1406225STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3155947.25483623,1703378.62289463
2439,407702STOF,2,Headwall,DPUB,ACT,12/30/1899 12:00:00 AM,,,,,,,,1,3141903.99880207,1703405.61824746
2440,554315STOF,1,Flaired End Section,DPUB,ACT,2/17/2006 12:00:00 AM,,,,5279.89,,,,1,3177934.20430057,1703538.1527593
2441,1406224STOF,1,Flared End Section,DPUB,ACT,,,,,,,,,1,3155994.44207782,1703554.2944593
2442,11968STOF,2,Headwall,DPUB,ACT,,,,,5149.81,,,,1,3142085.38853115,1703587.07523364
2443,871521STOF,1,Flaired End Section,PRIV,ACT,12/16/2015 12:00:00 AM,,,,,,,,1,3144994.2242489,1703624.76971205
2444,623343STOF,3,Other,PRIV,ACT,,,,,,,,,1,3141454.76643281,1703788.50429271
2445,709145STOF,3,Other,DPUB,ACT,,,,,,,,,1,3142304.99996856,1703798.25000814
2446,746275STOF,3,Other,PRIV,ACT,6/10/2011 12:00:00 AM,,,,5280.25,,,,1,3137596.59009406,1703824.85428563
2447,634287STOF,3,Other,PRIV,ACT,5/22/2008 12:00:00 AM,,,,5184.86,,,,1,3145757.78243306,1703850.15705656
2448,1398853STOF,1,Flared End Section,PRIV,ACT,9/19/2016 12:00:00 AM,,,,5283.76,,,,1,3159918.54905897,1703860.42803338
2449,813399STOF,2,Headwall,PRIV,ACT,4/16/1999 12:00:00 AM,,,,5273.7,,,,1,3179158.08210215,1703869.89225329
2450,615329STOF,3,Other,DPUB,ACT,,,,,,,,,1,3142637.29687615,1703900.4315623
2451,643460STOF,2,Headwall,PRIV,ACT,3/13/2009 12:00:00 AM,,,,5154.45,,,,1,3142426.48364948,1703902.30294964
2452,820563STOF,2,Headwall,PRIV,ACT,1/25/2013 12:00:00 AM,,,,5285.99,,,,1,3162121.80449498,1703955.53873555
