OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
12636,30251STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3147133.77771257,1686916.20273554
12637,30249STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3162546.30069323,1686916.50916538
12638,30248STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3126249.51108223,1686917.29656538
12639,30247STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3126080.24928164,1686918.31263946
12640,635640STIL,99,OTHR,DPKS,ACT,11/21/2003 12:00:00 AM,,1,,5388.58,5388.34,,1,3171750.52539498,1686919.92910604
12641,30242STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3142880.33576015,1686920.92680746
12642,30241STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3128498.89503489,1686921.74143839
12643,30240STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145239.29167214,1686921.96453504
12644,30238STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3144893.16966099,1686922.13152947
12645,1631728STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.19,5395.81,,,1,3166785.86570489,1686922.25685731
12646,1631764STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5399.49,5396.61,5396.61,,1,3166618.1790324,1686922.69845746
12647,30233STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3144266.68075648,1686923.85757588
12648,30232STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3143716.69268323,1686923.90186714
12649,30231STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146545.30480814,1686924.14661729
12650,1631757STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5399.16,5396.9,,,1,3166646.83186223,1686924.44156422
12651,30230STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146505.81472965,1686924.72174738
12652,30229STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146180.36524931,1686924.83296764
12653,30228STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145897.89796647,1686925.04983072
12654,30227STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3143677.76297106,1686925.12299331
12655,30226STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3143251.78449231,1686925.90153505
12656,30225STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3141031.14720131,1686926.00947447
12657,30223STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3147455.52017932,1686926.39792514
12658,1631719STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.5,5396.21,5396.21,,1,3166745.27392256,1686926.39890938
12659,30222STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145568.88353264,1686926.74634963
12660,30221STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3147489.24025624,1686926.89365906
12661,30220STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3144577.80808698,1686927.20402588
12662,30219STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3145586.09150347,1686927.4261383
12663,30217STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3142361.92406732,1686927.72042905
12664,30216STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3142323.18923664,1686928.00815813
12665,30181STIL,98,UNKN,PRIV,ACT,10/5/2000 12:00:00 AM,,1,,5390.27,,,1,3168343.90359931,1686928.97075464
12666,615008STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3148243.08520523,1686929.03145005
12667,30215STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3142029.88568939,1686929.0639303
12668,30213STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3141991.17612115,1686929.2489693
12669,30212STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146847.40197298,1686929.51012363
12670,30211STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3147818.81341597,1686929.9989678
12671,1631740STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.48,5396.27,,,1,3166801.46311465,1686930.24470222
12672,1636199STIL,1,OTHR,PRIV,ACT,7/7/2021 12:00:00 AM,,1,5401.61,5397.82,,,1,3167416.85689698,1686931.42908305
12673,30210STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3147171.0446984,1686931.77160205
12674,30208STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3141713.47556107,1686932.66398871
12675,1631738STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.87,5395.91,,,1,3166831.72224048,1686933.0540798
12676,1631718STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.97,5396.94,,,1,3166714.94557114,1686933.9320308
12677,1631756STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5399.22,5397.2,5397.2,,1,3166648.56807923,1686934.25059971
12678,1631754STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.8,5397.66,,,1,3166684.41872931,1686934.51109788
12679,694397STIL,2,NO14,DPUB,ACT,5/20/2009 12:00:00 AM,6,2,5395.69,5391.22,5391.1,,1,3170490.69294089,1686936.03012371
12680,1636194STIL,2,NO14,PRIV,ACT,7/7/2021 12:00:00 AM,12,4,5401.89,5397.43,5397.52,,1,3167389.01705764,1686937.04193272
12681,30202STIL,98,UNKN,DPUB,ACT,,,1,,5296.05,,,1,3128632.55323215,1686937.14199813
12682,30201STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3147780.55857123,1686937.17349413
12683,30199STIL,98,UNKN,DPUB,ACT,,,1,,5299.44,,,1,3128313.42329298,1686937.87132739
12684,709589STIL,1,NO13,DPUB,ACT,,,1,5280,,,,1,3148145.81997982,1686939.04455338
12685,1613964STIL,2,R,DPUB,ACT,9/1/2022 12:00:00 AM,15,5,5234.72,5228.91,,,1,3140077.67666732,1686939.40216422
12686,30192STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3128154.33109148,1686940.16102096
12687,30189STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3128121.87479156,1686940.83687264
12688,30188STIL,98,UNKN,DPUB,ACT,,,3,,5303.82,,,1,3128098.15600698,1686940.90708247
12689,30187STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3141102.85440698,1686940.98451014
12690,1456613STIL,2,NO14,CDOT,ACT,10/1/2012 12:00:00 AM,6,2,5263.16,5258.5,,,1,3133670.09761898,1686942.74631763
12691,30185STIL,98,UNKN,DPUB,ACT,,,1,,5198.8,,,1,3151354.99335147,1686942.78601572
12692,617980STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3147978.48370031,1686945.43889755
12693,30182STIL,3,NO16,PRIV,ACT,3/6/2002 12:00:00 AM,,1,,5391.67,,,1,3169140.46401407,1686946.07505113
12694,30180STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3150088.51950648,1686946.24532638
12695,30178STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3148960.17793114,1686947.03010172
12696,30177STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3148634.16316323,1686947.27583613
12697,30176STIL,98,UNKN,DPUB,ACT,,,2,,,,,1,3134869.95808014,1686947.60096672
12698,635642STIL,1,UNKN,DPKS,ACT,11/21/2003 12:00:00 AM,,1,5391.03,5388.06,5388.04,,1,3171788.01580556,1686947.77419472
12699,693106STIL,1,NO16,DPKS,ACT,10/8/1999 12:00:00 AM,,1,5391.69,5388.1,5388.5,,1,3171136.61192465,1686949.01927097
12700,30175STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3154374.05161782,1686949.22399497
12701,30174STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3149289.81703565,1686949.61966346
12702,30173STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3128457.97680965,1686949.82471555
12703,30171STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3136927.79845265,1686950.92838788
12704,30170STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3128617.08180639,1686950.98973946
12705,48956STIL,98,UNKN,FDST,ACT,,,1,,5221.08,,,1,3139202.0586679,1686951.40312447
12706,1631751STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5399.37,5396.83,5396.83,,1,3166618.22102706,1686951.40345255
12707,1613970STIL,2,NO14,DPUB,ACT,9/1/2022 12:00:00 AM,6,2,5234.5,5231.34,,,1,3139946.30193006,1686953.42674246
12708,1636197STIL,2,NO14,PRIV,ACT,7/7/2021 12:00:00 AM,12,4,5399.24,5395.67,,,1,3167083.56097564,1686954.00318488
12709,30160STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3149702.32244423,1686954.76040122
12710,30157STIL,98,UNKN,DPUB,ACT,11/18/1997 12:00:00 AM,,1,,5301.45,,,1,3153091.59158431,1686956.29714355
12711,30153STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3150467.92491564,1686958.41688997
12712,30152STIL,98,UNKN,DPUB,ACT,,,2,,,,,1,3128303.77928339,1686959.38407964
12713,1631736STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.54,5396.26,,,1,3166786.04647881,1686959.68919714
12714,1631784STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.7,5395.66,,,1,3166948.75842373,1686960.91950963
12715,48955STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3148614.22160207,1686961.16590022
12716,1631781STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.72,5395.12,,,1,3166995.71141382,1686961.4142593
12717,30145STIL,3,UNKN,DPUB,ACT,11/18/1997 12:00:00 AM,,3,,,,,1,3152717.62776531,1686961.50907539
12718,30143STIL,98,UNKN,DPUB,ACT,,,2,,,,,1,3153150.10327831,1686963.28597471
12719,635756STIL,99,OTHR,DPKS,ACT,11/21/2003 12:00:00 AM,,1,,5386.7,5386.67,,1,3172448.15457715,1686964.47199596
12720,1631734STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.26,5396.47,,,1,3166848.82686506,1686965.48610155
12721,30135STIL,98,UNKN,DPUB,ACT,,,1,,5198.73,,,1,3151352.19840956,1686965.65145555
12722,1601009STIL,1,NO13,DPUB,ACT,,,1,,,,,1,3148157.62802707,1686966.5914143
12723,406974STIL,98,UNKN,PRIV,ACT,12/30/1899 12:00:00 AM,,1,,5392.86,,,1,3167686.03582056,1686966.70525922
12724,407063STIL,2,NO14,PRIV,ACT,12/30/1899 12:00:00 AM,,2,,5393.04,,,1,3167706.03545249,1686966.86962897
12725,30130STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3144582.03215989,1686967.60125481
12726,48954STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3145586.94320782,1686967.64784263
12727,30128STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3141035.70788772,1686968.26135847
12728,30127STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146507.91675957,1686968.91260388
12729,30126STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3153806.30308139,1686968.99593705
12730,48952STIL,2,ST,DPUB,ACT,,,1,5267.06,5666.36,5664.4,,1,3143822.42967647,1686969.82828447
12731,30121STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146570.57017756,1686970.24823113
12732,30109STIL,3,NO13,DPUB,ACT,,,1,,,,,1,3143737.96101339,1686970.40505497
12733,1631750STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.85,5397.08,,,1,3166621.55435373,1686970.91719306
12734,30119STIL,98,UNKN,DPUB,ACT,,,1,,5301.51,,,1,3153090.94296356,1686970.95426646
12735,30115STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3146999.00698473,1686972.19934271
